ID,Book_length_min,Book_length_char,Avg_rating,Rating_count,Review_score,Price,Discount,Total_minutes_listened,Completion,Support_requests,Target,Support_request
22116,648.0,648,10.13,10.13,1,10.0,1.0,648.0,2.0,192,0,20
22166,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,2,1,2
22951,1620.0,1620,10.13,10.13,0,8.91,0.19,307.8,0.1,11,0,11
23058,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,62,1,20
23200,648.0,648,10.13,10.13,1,9.0,0.26,168.48,0.1,337,0,20
25119,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
28244,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
29771,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,355,1,20
31759,2160.0,2160,5.33,5.33,1,10.0,0.0,0.0,0.1,294,1,20
31895,2160.0,2160,10.13,10.13,0,8.91,0.12,259.2,0.1,1,0,1
32669,324.0,324,6.11,6.11,0,8.91,0.97,314.28,0.1,13,0,13
33273,2160.0,2160,5.33,5.33,0,8.91,0.02,43.2,0.1,281,0,20
123,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,37,0,20
2300,2160.0,2160,10.13,10.13,0,8.91,0.1,216.0,0.1,6,0,6
3627,1620.0,1620,11.35,11.35,0,8.91,0.53,858.6,0.1,9,0,9
3909,2160.0,2160,5.33,5.33,0,8.91,0.81,1620.0,0.1,64,0,20
5580,2160.0,2160,5.33,5.33,1,10.0,0.0,0.0,0.1,28,1,20
7103,1620.0,1620,6.11,6.11,0,8.91,0.08,129.6,0.1,329,0,20
9200,2160.0,2160,10.13,10.13,1,9.0,0.13,280.8,0.1,243,0,20
9755,2160.0,2160,13.45,13.45,0,8.91,0.16,345.6,0.1,3,0,3
9972,648.0,648,9.77,9.77,0,8.91,0.0,0.0,0.1,0,0,0
11591,2160.0,2160,5.33,5.33,1,7.0,0.3,648.0,0.1,89,0,20
13079,324.0,324,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
13496,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
15561,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,119,0,20
15739,1620.0,1620,12.8,12.8,0,8.91,0.41,664.2,1.0,148,0,20
19547,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,346,1,20
19753,2160.0,2160,9.77,9.77,0,8.91,0.08,172.8,0.1,0,0,0
21896,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,62,0,20
21991,1080.0,1080,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
22756,540.0,540,10.13,10.13,0,8.91,0.58,313.2,0.1,4,0,4
22887,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
26439,2160.0,2160,104.0,25.6,0,8.91,0.0,0.0,0.1,0,0,0
27278,1620.0,1620,5.33,5.33,0,8.91,0.28,453.6,0.1,0,0,0
27395,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
29290,1080.0,1080,12.8,12.8,0,8.91,0.74,799.2,1.0,17,0,17
30116,2160.0,2160,5.33,5.33,0,8.91,0.34,734.4,0.1,210,0,20
30363,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
33158,2160.0,2160,10.13,10.13,0,8.91,0.89,1620.0,0.1,10,0,10
873,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,0,1,0
1713,1080.0,1080,7.87,7.87,0,8.91,0.0,0.0,0.1,45,0,20
1807,324.0,324,10.13,10.13,0,8.91,0.86,278.64,1.0,17,0,17
2388,1620.0,1620,10.13,10.13,0,8.91,0.68,1101.6,1.0,301,0,20
3580,2160.0,2160,7.08,7.08,0,8.91,0.08,172.8,0.1,109,0,20
3968,2160.0,2160,5.33,5.33,0,8.91,0.01,21.6,0.1,355,0,20
4365,648.0,648,19.73,19.73,0,8.91,0.0,0.0,0.1,0,0,0
4422,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,74,0,20
5077,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
5082,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
7530,2160.0,2160,10.13,10.13,1,8.0,0.0,0.0,0.1,251,1,20
10959,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
11215,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
11582,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,152,1,20
13093,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
14182,1620.0,1620,5.33,5.33,0,8.91,0.09,145.8,0.1,104,0,20
14549,2160.0,2160,5.33,5.33,0,8.91,0.04,86.4,0.1,28,0,20
18398,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,51,0,20
19277,2160.0,2160,5.97,5.97,0,8.91,0.02,43.2,0.1,72,0,20
20203,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
21947,2160.0,2160,4.1,4.18,0,8.91,0.0,0.0,0.1,0,0,0
22903,1080.0,1080,10.13,10.13,1,8.0,1.0,1080.0,0.1,111,0,20
27449,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
27951,1620.0,1620,10.13,10.13,0,8.91,0.05,81.0,0.1,22,0,20
30204,1890.0,3780,10.13,20.27,0,8.91,0.0,0.0,0.1,251,1,20
30674,1242.0,2484,5.33,10.67,0,8.91,0.0,0.0,0.1,101,1,20
31893,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,353,0,20
33185,2160.0,2160,25.6,25.6,0,8.91,0.03,64.8,0.1,0,0,0
558,648.0,648,10.13,10.13,1,8.0,0.65,421.2,0.1,134,0,20
611,1404.0,2808,6.66,13.33,1,6.5,0.0,0.0,0.1,182,1,20
3709,324.0,324,8.0,8.0,1,10.0,0.84,272.16,0.1,0,0,0
5780,1080.0,1080,5.33,5.33,0,8.91,0.0,0.0,0.1,19,0,19
6226,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
6377,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
6761,2160.0,2160,6.11,6.11,1,10.0,0.14,302.4,0.1,146,0,20
6931,2160.0,2160,10.13,10.13,1,6.0,0.38,820.8,0.1,357,0,20
7266,1620.0,1620,4.1,4.18,0,8.91,0.35,567.0,0.1,92,0,20
8447,2160.0,2160,9.66,9.66,0,8.91,0.0,0.0,0.1,0,0,0
13101,1620.0,1620,7.74,7.74,0,8.91,0.9,1458.0,0.1,72,0,20
14577,1080.0,1080,19.73,19.73,0,8.91,0.0,0.0,0.1,5,0,5
16514,1620.0,1620,5.33,5.33,0,8.91,0.02,32.4,0.1,214,0,20
17318,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,17,1,17
17585,1188.0,4752,9.84,25.6,1,9.4,0.0,0.0,0.1,374,1,20
19364,1080.0,1080,7.96,7.96,1,8.0,0.99,1069.2,0.1,116,0,20
21381,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,1,0,1
21477,2160.0,2160,5.33,5.33,1,6.0,0.04,86.4,0.1,220,0,20
22033,648.0,648,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
22544,1620.0,1620,10.13,10.13,0,8.91,0.12,194.4,0.1,0,0,0
23164,648.0,648,5.33,5.33,1,10.0,0.0,0.0,0.1,0,0,0
24108,2160.0,2160,10.13,10.13,1,6.0,0.0,0.0,0.1,0,0,0
24151,648.0,648,9.66,9.66,0,8.91,0.33,213.84,0.1,0,0,0
24560,1620.0,1620,5.33,5.33,1,6.5,0.0,0.0,1.0,330,1,20
24683,2160.0,2160,10.13,10.13,1,8.0,1.0,1620.0,0.1,291,0,20
24727,648.0,648,10.13,10.13,0,8.91,0.16,103.68,0.1,0,0,0
24818,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,110,1,20
27203,1116.0,3348,9.56,25.6,0,8.91,0.0,0.0,0.1,0,1,0
27456,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0.1,352,0,20
27753,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,91,1,20
28103,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,356,1,20
31345,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
31358,2160.0,2160,10.13,10.13,1,9.0,0.39,842.4,0.1,56,0,20
33391,1620.0,1620,9.77,9.77,0,8.91,0.06,97.2,0.1,375,0,20
678,2160.0,2160,8.0,8.0,0,8.91,0.58,1252.8,0.1,138,0,20
4849,2160.0,2160,6.11,6.11,0,8.91,0.0,0.0,0.1,0,0,0
5564,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,19,1,19
5934,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
6111,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
7050,2160.0,2160,11.35,11.35,0,8.91,0.0,0.0,0.1,0,0,0
7562,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0.1,45,1,20
8441,1476.0,4428,10.84,25.6,1,10.0,0.0,0.0,0.1,8,1,8
10630,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
10977,1620.0,1620,10.13,10.13,0,8.91,0.8,1296.0,1.0,52,0,20
11502,648.0,648,10.13,10.13,1,9.0,0.48,311.04,0.1,104,0,20
11684,648.0,648,7.99,7.99,0,8.91,0.29,187.92,0.1,31,0,20
11894,2160.0,2160,5.33,5.33,0,8.91,0.33,712.8,0.1,333,0,20
12719,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
13806,2160.0,2160,12.8,12.8,0,8.91,0.24,518.4,0.1,5,0,5
14077,1620.0,1620,9.77,9.77,1,8.0,0.3,486.0,0.1,2,0,2
14811,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,85,1,20
15138,1620.0,1620,22.1,22.1,1,8.0,0.14,226.8,0.1,313,0,20
16505,2160.0,2160,10.13,10.13,0,8.91,0.02,43.2,0.1,162,0,20
17290,1620.0,1620,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
17947,684.0,2052,5.78,17.34,1,9.0,0.0,0.0,0.1,326,1,20
18307,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
19134,2160.0,2160,5.33,5.33,0,8.91,0.45,972.0,0.1,43,0,20
19493,540.0,540,10.07,10.07,0,8.91,0.5,270.0,0.1,95,0,20
20971,1080.0,1080,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
24567,2160.0,2160,5.33,5.33,0,8.91,0.07,151.2,0.1,290,0,20
24867,2160.0,2160,5.33,5.33,0,8.91,0.02,43.2,0.1,58,0,20
24879,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
29826,2160.0,2160,5.33,5.33,0,8.91,0.34,734.4,0.1,330,0,20
29999,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,12,0,12
33304,2160.0,2160,25.6,25.6,1,10.0,0.57,1231.2,0.1,54,0,20
604,1620.0,1620,8.96,8.96,0,8.91,0.09,145.8,0.1,0,0,0
1201,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,1,0
9568,1620.0,1620,7.74,7.74,0,8.91,0.0,0.0,0.1,117,1,20
14006,1080.0,1080,10.13,10.13,0,8.91,0.18,194.4,0.1,27,0,20
16160,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
16341,1620.0,1620,7.74,7.74,0,8.91,0.19,307.8,0.1,60,0,20
20068,2160.0,2160,10.62,10.62,1,10.0,0.0,0.0,0.1,0,0,0
25051,1620.0,1620,10.13,10.13,0,8.91,0.02,32.4,0.1,323,0,20
25937,2160.0,2160,5.33,5.33,0,8.91,0.03,64.8,0.1,333,0,20
3327,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
5701,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
5943,648.0,648,7.74,7.74,0,8.91,0.0,0.0,0.1,39,0,20
6091,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,105,0,20
6711,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
7208,2160.0,2160,7.74,7.74,0,8.91,0.0,0.0,0.1,266,0,20
7971,1620.0,1620,13.45,13.45,1,8.0,0.43,696.6,0.1,218,0,20
8832,1080.0,1080,10.13,10.13,0,8.91,0.0,0.0,0.1,147,1,20
9034,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
11171,1080.0,1080,8.0,8.0,0,8.91,0.02,21.6,0.1,0,0,0
12501,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,247,1,20
12590,2160.0,2160,8.0,8.0,0,8.91,0.05,108.0,0.1,94,0,20
12844,2160.0,2160,25.6,25.6,0,8.91,0.09,194.4,0.1,7,0,7
14120,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
15669,1620.0,1620,7.74,7.74,1,8.0,0.42,680.4,0.1,240,0,20
17549,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,366,1,20
18413,2160.0,2160,5.33,5.33,0,8.91,0.1,216.0,0.1,349,0,20
18592,1620.0,1620,7.87,7.87,1,10.0,0.0,0.0,0.1,0,0,0
20099,2160.0,2160,5.33,5.33,1,10.0,0.07,151.2,0.1,19,0,19
20147,1620.0,1620,7.74,7.74,0,8.91,0.16,259.2,0.1,34,0,20
22456,2160.0,2160,10.13,10.13,1,10.0,0.0,0.0,0.1,34,1,20
25754,648.0,648,7.99,7.99,0,8.91,0.02,12.96,0.1,53,0,20
26667,2160.0,2160,25.6,25.6,0,8.91,0.26,561.6,2.0,97,0,20
26813,648.0,648,10.13,10.13,0,8.91,0.43,278.64,0.1,49,0,20
27121,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
28243,540.0,540,10.13,10.13,0,8.91,0.64,345.6,0.1,117,0,20
29014,1674.0,3348,5.16,10.33,0,8.91,0.0,0.0,0.1,250,1,20
29048,648.0,648,8.0,8.0,0,8.91,0.09,58.32,0.1,0,0,0
29374,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
31180,1620.0,1620,8.0,8.0,0,8.91,0.0,0.0,0.1,11,0,11
74,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0.1,280,0,20
137,2160.0,2160,8.0,8.0,1,9.0,0.16,345.6,0.1,199,0,20
469,540.0,540,7.74,7.74,0,8.91,0.04,21.6,0.1,12,0,12
596,1620.0,1620,8.0,8.0,0,8.91,0.03,48.6,0.1,108,0,20
929,648.0,648,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
1103,648.0,648,10.13,10.13,1,10.0,0.89,576.72,0.1,244,0,20
3093,1080.0,1080,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
3677,2160.0,2160,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
4596,2160.0,2160,10.13,10.13,1,8.0,0.68,1468.8,0.1,367,0,20
5029,2160.0,2160,5.33,5.33,1,10.0,0.25,540.0,0.1,54,0,20
5549,1620.0,1620,10.98,10.98,0,8.91,0.0,0.0,1.0,301,1,20
5735,2160.0,2160,13.33,13.33,0,8.91,0.27,583.2,0.1,51,0,20
6388,2160.0,2160,10.13,10.13,0,8.91,0.03,64.8,0.1,25,0,20
6738,2160.0,2160,8.62,8.62,0,8.91,0.02,43.2,0.1,10,0,10
8333,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,329,1,20
8566,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
8995,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
9508,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,0,1,0
9623,2160.0,2160,5.33,5.33,1,6.0,0.0,0.0,0.1,0,1,0
10304,2160.0,2160,7.96,7.96,0,8.91,0.07,151.2,0.1,248,0,20
11745,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
11849,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
11941,2160.0,2160,7.96,7.96,0,8.91,0.08,172.8,0.1,7,0,7
13879,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,2,0,2
15212,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,1,0
15718,1080.0,1080,8.0,8.0,0,8.91,0.12,129.6,0.1,339,0,20
16156,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
16224,2160.0,2160,5.33,5.33,0,8.91,0.45,972.0,0.1,162,0,20
17740,324.0,324,10.13,10.13,0,8.91,0.0,0.0,0.1,0,1,0
18806,324.0,324,50.67,25.6,0,8.91,0.0,0.0,0.1,0,1,0
20866,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,3,0,3
21020,1890.0,3780,6.67,13.33,0,8.91,0.0,0.0,0.1,0,1,0
21082,1620.0,1620,7.99,7.99,0,8.91,0.0,0.0,0.1,6,0,6
21244,1620.0,1620,11.35,11.35,0,8.91,0.4,648.0,0.1,27,0,20
22207,648.0,648,10.13,10.13,0,8.91,0.0,0.0,0.1,95,0,20
23567,648.0,648,8.0,8.0,0,8.91,0.86,557.28,0.1,47,0,20
23811,1620.0,1620,10.13,10.13,0,8.91,0.58,939.6,0.1,36,0,20
25446,648.0,648,8.0,8.0,0,8.91,0.94,609.12,0.1,69,0,20
26881,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
30064,648.0,648,8.0,8.0,1,9.0,1.0,648.0,0.1,130,0,20
30566,1620.0,1620,10.62,10.62,1,10.0,0.0,0.0,0.1,69,1,20
31510,2160.0,2160,7.74,7.74,0,8.91,0.0,0.0,0.1,212,1,20
705,324.0,324,10.13,10.13,1,9.0,0.0,0.0,1.0,334,1,20
4108,1674.0,3348,5.33,10.66,0,8.91,0.0,0.0,0.1,119,1,20
6928,540.0,540,10.13,10.13,0,8.91,0.04,21.6,0.1,9,0,9
7228,324.0,324,8.0,8.0,0,8.91,0.0,0.0,0.1,0,0,0
7459,1656.0,4968,8.53,25.6,0,10.0,0.0,0.0,0.1,3,1,3
8951,648.0,648,19.73,19.73,0,8.91,0.08,51.84,0.1,1,0,1
10275,1002.857143,7020,6.61,25.6,0,8.91,0.0,0.0,0.1,77,1,20
10852,1152.0,3456,9.24,25.6,0,8.91,0.0,0.0,2.0,98,1,20
13619,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,0,0,0
13956,1620.0,1620,10.13,10.13,0,8.91,0.0,0.0,0.1,20,0,20
15643,1620.0,1620,24.36,24.36,1,9.0,0.3,486.0,0.1,293,0,20
16686,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,2,1,2
19454,1080.0,1080,7.96,7.96,1,10.0,0.22,237.6,0.1,113,0,20
20045,1620.0,1620,10.13,10.13,0,8.91,0.23,372.6,0.1,0,0,0
21773,1620.0,1620,10.98,10.98,0,8.91,0.89,1441.8,1.0,271,0,20
22146,1080.0,1080,10.13,10.13,1,10.0,1.0,1080.0,0.1,234,0,20
24236,2160.0,2160,9.66,9.66,0,8.91,0.34,734.4,0.1,295,0,20
26618,1620.0,1620,10.13,10.13,1,6.0,0.56,907.2,0.1,23,0,20
26656,648.0,648,10.13,10.13,0,8.91,1.0,648.0,0.1,3,0,3
27110,1620.0,1620,12.8,12.8,1,10.0,0.92,1490.4,1.0,146,0,20
28398,324.0,324,10.18,10.18,0,8.91,0.0,0.0,0.1,0,1,0
28506,1674.0,3348,6.7,13.41,0,10.0,0.0,0.0,0.1,299,1,20
29159,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,1,0,1
29204,1080.0,1080,10.13,10.13,0,8.91,0.18,194.4,0.1,0,0,0
29460,2160.0,2160,10.13,10.13,0,8.91,0.0,0.0,0.1,0,0,0
31346,2160.0,2160,9.77,9.77,0,8.91,0.03,64.8,0.1,16,0,16
774,2160.0,2160,5.33,5.33,0,8.91,0.0,0.0,0.1,309,0,20
1252,1620.0,1620,10.13,10.13,0,8.91,0.31,502.2,0.1,366,0,20
3371,1404.0,2808,7.73,15.46,1,9.0,0.0,0.0,0.1,227,1,20
6280,1620.0,1620,10.13,10.13,0,8.91,0.14,226.8,0.1,79,0,20
7696,648.0,648,12.8,12.8,0,8.91,0.0,0.0,1.0,27,1,20
7763,1620.0,1620,10.13,10.13,0,8.91,0.32,518.4,0.1,5,0,5
12780,2160.0,2160,12.8,12.8,1,10.0,0.8,1620.0,0.1,62,0,20
